,factors,regularization,iterations,rank_score,pop_score
103,12,0.1,300,0.155229339,0.080133403
101,12,0.1,45,0.155289736,0.080133403
99,12,0.01,300,0.155560316,0.080133403
152,16,1,15,0.159102078,0.080133403
155,16,1,300,0.160299297,0.080133403
153,16,1,45,0.160551919,0.080133403
154,16,1,75,0.163946088,0.080133403
144,16,0.01,15,0.165987737,0.080133403
145,16,0.01,45,0.168144086,0.080133403
146,16,0.01,75,0.168156428,0.080133403
148,16,0.1,15,0.168285106,0.080133403
151,16,0.1,300,0.16949177,0.080133403
149,16,0.1,45,0.169645761,0.080133403
147,16,0.01,300,0.170114735,0.080133403
200,20,1,15,0.170354637,0.080133403
150,16,0.1,75,0.174808053,0.080133403
192,20,0.01,15,0.175448523,0.080133403
201,20,1,45,0.175917295,0.080133403
203,20,1,300,0.176811847,0.080133403
202,20,1,75,0.179067583,0.080133403
199,20,0.1,300,0.181508565,0.080133403
198,20,0.1,75,0.183002457,0.080133403
196,20,0.1,15,0.183952394,0.080133403
193,20,0.01,45,0.183956827,0.080133403
194,20,0.01,75,0.184866491,0.080133403
197,20,0.1,45,0.186038347,0.080133403
195,20,0.01,300,0.186765131,0.080133403
248,80,1,15,0.284973786,0.080133403
250,80,1,75,0.291603751,0.080133403
251,80,1,300,0.294384349,0.080133403
249,80,1,45,0.294781768,0.080133403
538,440,1,75,0.305288981,0.080133403
539,440,1,300,0.305743725,0.080133403
537,440,1,45,0.305885626,0.080133403
536,440,1,15,0.312085882,0.080133403
490,380,1,75,0.312353238,0.080133403
246,80,0.1,75,0.312458241,0.080133403
247,80,0.1,300,0.312970158,0.080133403
489,380,1,45,0.313940194,0.080133403
240,80,0.01,15,0.314339099,0.080133403
245,80,0.1,45,0.31500206,0.080133403
244,80,0.1,15,0.315384393,0.080133403
488,380,1,15,0.316491544,0.080133403
491,380,1,300,0.316508898,0.080133403
243,80,0.01,300,0.31985957,0.080133403
441,320,1,45,0.321600869,0.080133403
242,80,0.01,75,0.322130593,0.080133403
296,140,1,15,0.322391929,0.080133403
443,320,1,300,0.322812999,0.080133403
241,80,0.01,45,0.323194903,0.080133403
442,320,1,75,0.324038553,0.080133403
297,140,1,45,0.325287278,0.080133403
298,140,1,75,0.33015655,0.080133403
299,140,1,300,0.33257363,0.080133403
440,320,1,15,0.333317012,0.080133403
345,200,1,45,0.340836366,0.080133403
346,200,1,75,0.340860369,0.080133403
344,200,1,15,0.341202226,0.080133403
395,260,1,300,0.341914125,0.080133403
394,260,1,75,0.342247469,0.080133403
347,200,1,300,0.343174587,0.080133403
393,260,1,45,0.344218823,0.080133403
392,260,1,15,0.348472509,0.080133403
289,140,0.01,45,0.358879001,0.080133403
294,140,0.1,75,0.363887302,0.080133403
293,140,0.1,45,0.364568524,0.080133403
295,140,0.1,300,0.365170684,0.080133403
292,140,0.1,15,0.366867681,0.080133403
290,140,0.01,75,0.36776999,0.080133403
291,140,0.01,300,0.369719255,0.080133403
288,140,0.01,15,0.37010728,0.080133403
212,20,1000,15,0.375639714,0.080133403
214,20,1000,75,0.376191376,0.080133403
215,20,1000,300,0.376209107,0.080133403
213,20,1000,45,0.376551368,0.080133403
358,200,1000,75,0.381288813,0.080133403
359,200,1000,300,0.381309063,0.080133403
165,16,1000,45,0.381846695,0.080133403
357,200,1000,45,0.381880949,0.080133403
166,16,1000,75,0.381889009,0.080133403
164,16,1000,15,0.382007436,0.080133403
356,200,1000,15,0.382121431,0.080133403
167,16,1000,300,0.38233335,0.080133403
311,140,1000,300,0.383983298,0.080133403
260,80,1000,15,0.384135148,0.080133403
262,80,1000,75,0.384153937,0.080133403
263,80,1000,300,0.384195596,0.080133403
308,140,1000,15,0.384833698,0.080133403
261,80,1000,45,0.385298265,0.080133403
309,140,1000,45,0.38547049,0.080133403
310,140,1000,75,0.385622768,0.080133403
71,8,1000,300,0.387772745,0.080133403
407,260,1000,300,0.389147454,0.080133403
404,260,1000,15,0.3892616,0.080133403
406,260,1000,75,0.38927777,0.080133403
342,200,0.1,75,0.392181732,0.080133403
343,200,0.1,300,0.392793665,0.080133403
69,8,1000,45,0.393900062,0.080133403
503,380,1000,300,0.394236957,0.080133403
338,200,0.01,75,0.394259676,0.080133403
501,380,1000,45,0.394280631,0.080133403
500,380,1000,15,0.394285013,0.080133403
455,320,1000,300,0.394743208,0.080133403
452,320,1000,15,0.39487375,0.080133403
453,320,1000,45,0.394881532,0.080133403
454,320,1000,75,0.395042147,0.080133403
502,380,1000,75,0.395260137,0.080133403
340,200,0.1,15,0.39542929,0.080133403
405,260,1000,45,0.396086156,0.080133403
70,8,1000,75,0.39616703,0.080133403
68,8,1000,15,0.396187104,0.080133403
341,200,0.1,45,0.39779494,0.080133403
337,200,0.01,45,0.398148963,0.080133403
